시도,latitude,longitude
서울특별시,37.5040998269057,127.04294445358998
서울특별시,37.4726558946,127.0958062553
서울특별시,37.50233305982789,127.06421428148306
서울특별시,37.471028,127.088781
서울특별시,37.46735445188184,127.09342790212514
서울특별시,37.500448308,127.0605123535
서울특별시,37.50687518967951,127.06222761236187
서울특별시,37.521379742,127.0545473694
서울특별시,37.5015124522,127.0654756841
서울특별시,37.51728078263508,127.04451102459434
서울특별시,37.51716374633894,127.06393288718928
서울특별시,37.474774,127.101196
서울특별시,37.5011341757,127.0583189354
서울특별시,37.469852,127.110746
서울특별시,37.4610460851,127.1015424524
서울특별시,37.464100104388976,127.10096897113394
서울특별시,37.4702566872,127.1184618819
서울특별시,37.50957023378066,127.03870420791083
서울특별시,37.4877623464,127.0525283412
서울특별시,37.515489,127.065721
서울특별시,37.4942075612,127.0497329724
서울특별시,37.5167326431,127.0647107496
서울특별시,37.5247595235,127.0562105341
서울특별시,37.51394035345511,127.05003449556096
서울특별시,37.498557,127.049722
서울특별시,37.517705,127.046821
서울특별시,37.5092129203,127.0538237005
서울특별시,37.49967763910666,127.04957262081248
서울특별시,37.513789,127.051413
서울특별시,37.496746,127.051602
서울특별시,37.492949,127.046255
서울특별시,37.4989768233,127.046594
서울특별시,37.5241030942,127.0572508006
서울특별시,37.524086963,127.0335984125
서울특별시,37.481773,127.085611
서울특별시,37.5165790324,127.0465082121
서울특별시,37.468095,127.105372
서울특별시,37.4852006506,127.0826748096
서울특별시,37.4880682608,127.0534828799
서울특별시,37.5163180973,127.064864227
서울특별시,37.475905,127.112986
서울특별시,37.464099,127.102849
서울특별시,37.463952,127.104109
서울특별시,37.4934362819,127.0576977958
서울특별시,37.480807,127.09049
서울특별시,37.497198,127.050153
서울특별시,37.501522052731,127.044931417402
서울특별시,37.4894771854,127.0540356842
서울특별시,37.496565,127.04824
서울특별시,37.5183968081,127.0595495102
서울특별시,37.4932436794,127.0791148884
서울특별시,37.4881415795,127.0506742304
서울특별시,37.514473,127.040862
서울특별시,37.5167635684,127.0446125208
서울특별시,37.485861,127.028034
서울특별시,37.539426,127.124332
서울특별시,37.544819,127.1478
서울특별시,37.4963394415,127.1581638948
서울특별시,37.4920142127,127.1254708566
서울특별시,37.55371,127.175019
서울특별시,37.4781324844,127.1311863959
서울특별시,37.55616,127.132008
서울특별시,37.4948850029,127.1200929635
서울특별시,37.527721,127.1181
서울특별시,37.508808,127.118769
서울특별시,37.531242,127.118256
서울특별시,37.493512,127.116489
서울특별시,37.517678,127.104766
서울특별시,37.48056250195055,127.13199789417052
서울특별시,37.564461,127.175877
서울특별시,37.4793589648996,127.1401853902
서울특별시,37.52386515868995,127.13566588442886
서울특별시,37.4987866566,127.1581012036
서울특별시,37.4802093902,127.1397599524
서울특별시,37.5024046229492,127.130453032248
서울특별시,37.5010097,127.134043
서울특별시,37.551183,127.1573277
서울특별시,37.48594150436792,127.12368552666608
서울특별시,37.52944004701238,127.12553351970588
서울특별시,37.50700838816624,127.11334899398632
서울특별시,37.533317329986296,127.13108387017738
서울특별시,37.540361,127.124838
서울특별시,37.555386,127.131476
서울특별시,37.54588600963356,127.14663126465663
서울특별시,37.537527,127.148702
서울특별시,37.530519224189945,127.13353967261013
서울특별시,37.5488202709191,127.125370241826
서울특별시,37.4909147866,127.1445652655
서울특별시,37.567726,127.178447
서울특별시,37.551194,127.142924
서울특별시,37.5447889862851,127.121877570623
서울특별시,37.5024046229492,127.130453032248
서울특별시,37.556032,127.133941
서울특별시,37.561757,127.172139
서울특별시,37.51590693854679,127.09959370217155
서울특별시,37.4771052523,127.1436523086
서울특별시,37.478239,127.128729
서울특별시,37.545049,127.136282
서울특별시,37.504229,127.119152
서울특별시,37.559165,127.15474
서울특별시,37.531004,127.135438
서울특별시,37.565254,127.178943
서울특별시,37.527911,127.142992
서울특별시,37.490893,127.130226
서울특별시,37.562856,127.17973
서울특별시,37.49182576795053,127.14670644185615
서울특별시,37.5047326228152,127.08774045721448
서울특별시,37.47592327474777,127.1390103411818
서울특별시,37.493564382946886,127.146969926101
서울특별시,37.511529,127.094596
서울특별시,37.49871463638603,127.1266525235409
서울특별시,37.481504,127.143668
서울특별시,37.4865424679338,127.134416789936
서울특별시,37.550839,127.155315
서울특별시,37.4761708186692,127.1353309043601
서울특별시,37.510218,127.107464
서울특별시,37.514474,127.105464
서울특별시,37.528946,127.142793
서울특별시,37.52875974563473,127.11679568676972
서울특별시,37.500239,127.095866
서울특별시,37.514288,127.101758
서울특별시,37.508406,127.093875
서울특별시,37.513707,127.113382
서울특별시,37.505978,127.122973
서울특별시,37.4796153626,127.1297192236
서울특별시,37.545407,127.142231
서울특별시,37.4946987694,127.1292251319
서울특별시,37.495181,127.155564
서울특별시,37.536822,127.133259
서울특별시,37.529071,127.11161
서울특별시,37.4892095924,127.1449645201
서울특별시,37.532049,127.126629
서울특별시,37.567409,127.174666
서울특별시,37.513161,127.090312
서울특별시,37.479097,127.130755
서울특별시,37.559002,127.18087
서울특별시,37.4895863312,127.1433912604
서울특별시,37.533875,127.147529
서울특별시,37.565267,126.800042
서울특별시,37.5612470070927,126.821373319552
서울특별시,37.517105,126.866302
서울특별시,37.5459262068344,126.86548910371
서울특별시,37.511858,126.839128
서울특별시,37.5578684727295,126.834944503213
서울특별시,37.5269588386335,126.871505268559
서울특별시,37.548762088449465,126.87039415787932
서울특별시,37.510846,126.840186
서울특별시,37.5229427348,126.8701243493
서울특별시,37.52438967643405,126.87006301527256
서울특별시,37.5512782293289,126.850011146262
